SEQN,age,gender,screen_hours,sleep_hours,PAQ710,PAQ715,PAD680,weight,SDMVPSU,SDMVSTRA
83732.0,62.0,Male,5.0,5.5,5.0,5.397605346934028e-79,,135629.507405,1.0,125.0
83733.0,53.0,Male,5.0,8.0,5.0,5.397605346934028e-79,,25282.425927,1.0,125.0
83734.0,78.0,Male,13.0,7.0,5.0,8.0,,12575.838818,1.0,131.0
83735.0,56.0,Female,5.0,6.5,3.0,2.0,,102078.634508,1.0,131.0
83736.0,42.0,Female,9.0,,4.0,5.0,,18234.736219,2.0,126.0
83737.0,72.0,Female,1.0795210693868056e-78,9.0,5.397605346934028e-79,5.397605346934028e-79,10.0,10878.684022,1.0,128.0
83741.0,22.0,Male,2.0,6.5,1.0,1.0,,39353.307397,2.0,128.0
83742.0,32.0,Female,6.0,8.0,4.0,2.0,,23557.163453,1.0,125.0
83743.0,18.0,Male,1.0,6.5,1.0,5.397605346934028e-79,,18249.325929,2.0,122.0
83744.0,56.0,Male,9.0,4.0,1.0,8.0,,20068.662891,2.0,126.0
83747.0,46.0,Male,12.0,10.0,4.0,8.0,,35673.964272,1.0,121.0
83749.0,17.0,Female,5.0,8.0,3.0,2.0,,63059.812938,2.0,131.0
83750.0,45.0,Male,12.0,8.0,4.0,8.0,,97001.987877,1.0,125.0
83751.0,16.0,Female,13.0,7.0,5.0,8.0,,14802.213772,1.0,128.0
83752.0,30.0,Female,1.0,6.5,1.0,5.397605346934028e-79,,38680.531261,1.0,124.0
83754.0,67.0,Female,12.0,9.5,4.0,8.0,,10191.914345,1.0,128.0
83755.0,67.0,Male,5.0,7.0,2.0,3.0,,13991.639152,1.0,126.0
83756.0,16.0,Male,3.0,9.5,5.397605346934028e-79,3.0,,46918.697172,1.0,122.0
83757.0,57.0,Female,9.0,8.0,1.0,8.0,60.0,12413.062527,1.0,120.0
83758.0,80.0,Male,5.0,9.0,4.0,1.0,,5.397605346934028e-79,2.0,133.0
83759.0,19.0,Female,4.0,8.5,2.0,2.0,,19250.414038,2.0,121.0
83761.0,24.0,Female,12.0,4.0,8.0,4.0,,18010.012692,1.0,119.0
83762.0,27.0,Female,8.0,7.5,3.0,5.0,,43424.328288,1.0,132.0
83767.0,54.0,Female,7.0,7.0,5.0,2.0,,23219.518074,2.0,122.0
83769.0,49.0,Male,1.0,7.0,1.0,5.397605346934028e-79,,28350.831746,1.0,132.0
83773.0,80.0,Female,10.0,9.0,2.0,8.0,,39939.418885,1.0,131.0
83775.0,69.0,Female,13.0,6.5,5.0,8.0,,8799.980525,2.0,119.0
83776.0,58.0,Female,7.0,8.0,4.0,3.0,,21493.64217,2.0,128.0
83777.0,56.0,Male,1.0,6.0,1.0,5.397605346934028e-79,,14484.987902,2.0,133.0
83778.0,16.0,Male,5.0,8.5,3.0,2.0,,18651.126141,1.0,127.0
83781.0,27.0,Female,10.0,7.0,5.0,5.0,,38537.18944,2.0,119.0
83783.0,17.0,Male,2.0,7.5,5.397605346934028e-79,2.0,,89837.269154,2.0,129.0
83784.0,22.0,Male,4.0,8.0,2.0,2.0,,42493.486456,2.0,121.0
83785.0,60.0,Female,10.0,8.0,2.0,8.0,,10191.914345,1.0,128.0
83786.0,51.0,Male,2.0,6.5,2.0,5.397605346934028e-79,,28391.195299,2.0,129.0
83787.0,68.0,Female,10.0,7.0,2.0,8.0,60.0,10732.606587,1.0,128.0
83788.0,69.0,Female,2.0,8.5,2.0,5.397605346934028e-79,,49234.971244,2.0,120.0
83789.0,66.0,Male,5.0,8.0,4.0,1.0,,181461.242024,1.0,132.0
83790.0,56.0,Male,12.0,7.5,4.0,8.0,,32402.172747,2.0,126.0
83791.0,80.0,Female,1.0795210693868056e-78,7.5,5.397605346934028e-79,5.397605346934028e-79,,62213.984015,2.0,123.0
83799.0,37.0,Female,16.0,10.0,8.0,8.0,,35348.435447,1.0,122.0
83801.0,80.0,Female,11.0,7.5,3.0,8.0,,61722.129659,2.0,132.0
83802.0,29.0,Female,3.0,9.0,3.0,5.397605346934028e-79,,26347.770743,2.0,120.0
83803.0,27.0,Male,6.0,8.0,3.0,3.0,,21170.1696,2.0,126.0
83809.0,20.0,Female,7.0,7.0,3.0,4.0,,40405.577191,1.0,129.0
83812.0,68.0,Female,3.0,10.0,3.0,5.397605346934028e-79,,9985.161752,1.0,124.0
83813.0,24.0,Male,1.0795210693868056e-78,7.0,5.397605346934028e-79,5.397605346934028e-79,,127925.616456,1.0,130.0
83816.0,27.0,Male,4.0,10.0,2.0,2.0,,73364.003944,1.0,126.0
83817.0,42.0,Male,1.0,8.0,1.0,5.397605346934028e-79,,156668.5007,2.0,124.0
83818.0,80.0,Female,7.0,8.0,4.0,3.0,,8609.62524,2.0,119.0
83819.0,16.0,Female,10.0,8.5,5.0,5.0,,36859.21159,2.0,132.0
83820.0,70.0,Male,3.0,6.5,3.0,5.397605346934028e-79,,57057.111281,2.0,132.0
83821.0,80.0,Male,7.0,9.5,5.0,2.0,,16856.90242,1.0,130.0
83822.0,20.0,Female,11.0,6.5,3.0,8.0,,35683.4136,2.0,126.0
83823.0,29.0,Female,9.0,9.0,1.0,8.0,,23096.462098,1.0,129.0
83824.0,23.0,Male,12.0,8.0,8.0,4.0,,17901.767853,1.0,119.0
83825.0,16.0,Female,7.0,7.5,5.0,2.0,,17985.284751,1.0,121.0
83827.0,61.0,Male,5.0,6.0,4.0,1.0,,15028.726858,1.0,126.0
83828.0,39.0,Female,8.0,8.0,5.397605346934028e-79,8.0,,30343.023526,2.0,129.0
83829.0,50.0,Male,1.0,7.5,5.397605346934028e-79,1.0,,19543.327056,2.0,122.0
83832.0,50.0,Female,16.0,5.0,8.0,8.0,20.0,12034.175845,1.0,121.0
83834.0,69.0,Male,13.0,2.5,5.0,8.0,,12267.52054,2.0,131.0
83836.0,18.0,Female,8.0,9.0,3.0,5.0,,10403.834454,1.0,133.0
83837.0,45.0,Female,1.0795210693868056e-78,6.5,5.397605346934028e-79,5.397605346934028e-79,,16341.919117,1.0,133.0
83843.0,80.0,Male,8.0,9.0,5.0,3.0,,18517.464588,1.0,128.0
83844.0,27.0,Male,10.0,7.5,2.0,8.0,,33012.516984,1.0,121.0
83845.0,44.0,Female,13.0,9.0,5.0,8.0,,22031.510992,2.0,124.0
83846.0,41.0,Female,11.0,5.0,3.0,8.0,,5.397605346934028e-79,2.0,128.0
83847.0,18.0,Male,4.0,8.0,1.0,3.0,,86016.324929,2.0,128.0
83849.0,71.0,Male,11.0,4.5,3.0,8.0,,11258.826795,1.0,127.0
83851.0,37.0,Female,2.0,6.0,1.0,1.0,,73157.086814,1.0,120.0
83853.0,49.0,Female,3.0,7.5,1.0,2.0,,110568.780895,2.0,123.0
83854.0,46.0,Female,3.0,7.0,2.0,1.0,,26459.144642,1.0,127.0
83856.0,30.0,Male,10.0,7.5,2.0,8.0,,48195.032625,1.0,130.0
83857.0,31.0,Female,4.0,6.0,2.0,2.0,,135210.781434,1.0,130.0
83860.0,41.0,Male,2.0,7.0,2.0,5.397605346934028e-79,,22668.56273,2.0,125.0
83861.0,80.0,Male,11.0,7.5,3.0,8.0,,5.397605346934028e-79,2.0,120.0
83862.0,19.0,Female,4.0,9.0,2.0,2.0,,27656.345746,2.0,127.0
83863.0,35.0,Male,9.0,8.0,1.0,8.0,,25463.372657,1.0,120.0
83865.0,21.0,Female,3.0,9.5,3.0,5.397605346934028e-79,,63044.869905,2.0,126.0
83866.0,40.0,Male,3.0,8.0,2.0,1.0,,29280.855908,1.0,132.0
83869.0,67.0,Female,2.0,6.5,1.0,1.0,,37505.346642,2.0,132.0
83870.0,48.0,Male,4.0,7.0,3.0,1.0,,40991.596214,1.0,132.0
83871.0,30.0,Female,9.0,8.0,1.0,8.0,60.0,23411.220472,1.0,120.0
83872.0,63.0,Male,4.0,7.0,2.0,2.0,,7738.995646,1.0,122.0
83874.0,54.0,Male,10.0,8.5,2.0,8.0,,16247.530192,1.0,133.0
83875.0,42.0,Female,1.0,4.0,1.0,5.397605346934028e-79,,21360.939121,2.0,130.0
83876.0,71.0,Female,6.0,10.0,2.0,4.0,,51541.657183,2.0,132.0
83880.0,79.0,Female,10.0,11.0,2.0,8.0,,46534.060482,1.0,123.0
83881.0,32.0,Female,9.0,9.0,1.0,8.0,,61363.034774,2.0,125.0
83883.0,80.0,Female,12.0,8.5,4.0,8.0,,11641.228605,1.0,128.0
83884.0,61.0,Male,10.0,,2.0,8.0,,8113.690331,1.0,127.0
83885.0,38.0,Female,2.0,9.0,1.0,1.0,,13606.800072,2.0,121.0
83886.0,74.0,Male,3.0,9.0,3.0,5.397605346934028e-79,,18906.149564,2.0,123.0
83887.0,51.0,Female,10.0,7.5,2.0,8.0,,27815.239396,1.0,119.0
83889.0,26.0,Male,4.0,7.5,3.0,1.0,,170717.940863,1.0,132.0
83890.0,18.0,Female,6.0,10.0,3.0,3.0,,7587.102082,1.0,119.0
83891.0,54.0,Female,5.0,8.0,5.0,5.397605346934028e-79,,97546.396749,1.0,125.0
83893.0,68.0,Female,8.0,10.0,5.397605346934028e-79,8.0,,5.397605346934028e-79,1.0,121.0
83894.0,60.0,Male,10.0,8.0,2.0,8.0,,14849.610234,2.0,133.0
83895.0,80.0,Female,12.0,10.0,4.0,8.0,,38906.088612,1.0,130.0
83897.0,29.0,Female,7.0,10.0,2.0,5.0,,68402.551901,2.0,121.0
83898.0,55.0,Male,1.0,8.0,1.0,5.397605346934028e-79,,197997.70503,2.0,127.0
83899.0,27.0,Male,8.0,7.5,5.397605346934028e-79,8.0,,41361.395933,1.0,131.0
83900.0,52.0,Female,6.0,10.0,2.0,4.0,,38992.143171,1.0,125.0
83902.0,49.0,Male,1.0,6.5,5.397605346934028e-79,1.0,,180562.622596,1.0,132.0
83903.0,47.0,Female,6.0,7.0,2.0,4.0,,30052.523171,2.0,128.0
83904.0,80.0,Female,11.0,,3.0,8.0,,5.397605346934028e-79,2.0,133.0
83907.0,22.0,Male,13.0,7.0,8.0,5.0,,17901.767853,1.0,119.0
83908.0,51.0,Male,8.0,6.0,5.397605346934028e-79,8.0,,22812.965188,2.0,120.0
83909.0,49.0,Female,4.0,8.5,5.397605346934028e-79,4.0,,41791.705485,2.0,131.0
83910.0,37.0,Male,4.0,7.0,4.0,5.397605346934028e-79,,30870.783863,2.0,126.0
83911.0,43.0,Female,6.0,7.5,3.0,3.0,,37552.297073,1.0,129.0
83913.0,43.0,Male,8.0,6.0,5.397605346934028e-79,8.0,,11939.081157,2.0,120.0
83914.0,23.0,Female,5.0,9.0,5.397605346934028e-79,5.0,,32116.999102,1.0,121.0
83915.0,71.0,Male,10.0,8.5,2.0,8.0,,12158.220371,2.0,127.0
83917.0,17.0,Female,2.0,8.0,5.397605346934028e-79,2.0,,33923.731709,1.0,125.0
83919.0,19.0,Male,4.0,6.0,5.397605346934028e-79,4.0,,18630.561724,1.0,120.0
83920.0,68.0,Female,9.0,10.0,1.0,8.0,,9306.463126,1.0,121.0
83924.0,48.0,Female,5.0,8.0,5.0,5.397605346934028e-79,,108055.854056,2.0,123.0
83925.0,74.0,Female,4.0,8.0,2.0,2.0,,12379.093161,1.0,128.0
83926.0,66.0,Male,3.0,7.0,3.0,5.397605346934028e-79,,113023.591546,2.0,126.0
83927.0,66.0,Female,4.0,5.5,4.0,5.397605346934028e-79,,5.397605346934028e-79,2.0,122.0
83928.0,62.0,Female,,9.5,,2.0,,9223.528226,1.0,120.0
83930.0,17.0,Male,12.0,8.0,8.0,4.0,,42629.615392,1.0,131.0
83931.0,37.0,Male,11.0,12.0,3.0,8.0,,30255.561433,2.0,125.0
83932.0,80.0,Female,1.0,8.5,1.0,5.397605346934028e-79,,50790.182481,1.0,130.0
83933.0,31.0,Female,2.0,7.5,5.397605346934028e-79,2.0,,54657.454167,2.0,125.0
83934.0,27.0,Female,9.0,8.5,1.0,8.0,,23177.371662,2.0,126.0
83935.0,44.0,Female,4.0,5.5,2.0,2.0,,24243.789685,2.0,128.0
83937.0,75.0,Female,9.0,10.0,1.0,8.0,,22485.677011,1.0,129.0
83938.0,45.0,Male,11.0,7.5,8.0,3.0,,15518.639687,1.0,119.0
83940.0,16.0,Male,5.0,11.0,3.0,2.0,,21434.753457,1.0,129.0
83941.0,71.0,Male,9.0,8.0,1.0,8.0,,7124.584524,1.0,124.0
83943.0,17.0,Female,3.0,7.5,5.397605346934028e-79,3.0,,16897.158322,2.0,129.0
83944.0,75.0,Male,13.0,5.0,5.0,8.0,,12818.137491,2.0,126.0
83946.0,43.0,Male,4.0,7.0,2.0,2.0,,164144.33165,1.0,126.0
83947.0,33.0,Female,3.0,8.5,2.0,1.0,,115584.386412,2.0,128.0
83949.0,78.0,Female,13.0,10.0,5.0,8.0,,51570.787479,1.0,125.0
83950.0,55.0,Male,13.0,5.0,5.0,8.0,,38997.631276,2.0,130.0
83951.0,24.0,Male,12.0,5.0,4.0,8.0,,37871.565336,2.0,132.0
83953.0,46.0,Female,11.0,8.0,3.0,8.0,,34058.675648,1.0,128.0
83954.0,53.0,Male,9.0,6.5,1.0,8.0,,120076.911339,2.0,123.0
83955.0,47.0,Male,8.0,6.0,5.0,3.0,,23189.912945,1.0,133.0
83958.0,47.0,Female,2.0,6.0,2.0,5.397605346934028e-79,,22634.332368,2.0,131.0
83959.0,22.0,Female,3.0,11.0,2.0,1.0,,57766.459844,1.0,125.0
83961.0,44.0,Female,2.0,7.5,2.0,5.397605346934028e-79,,123942.642998,2.0,121.0
83962.0,28.0,Female,2.0,8.0,2.0,5.397605346934028e-79,,31735.964902,2.0,129.0
83963.0,44.0,Female,5.0,6.0,2.0,3.0,,29204.598577,2.0,130.0
83964.0,72.0,Female,10.0,7.5,2.0,8.0,,23978.556307,2.0,128.0
83965.0,49.0,Male,6.0,6.0,5.0,1.0,,27627.433535,1.0,127.0
83966.0,27.0,Male,9.0,5.0,1.0,8.0,,39017.960483,1.0,120.0
83967.0,40.0,Male,4.0,8.5,3.0,1.0,,21185.728757,2.0,128.0
83969.0,21.0,Female,4.0,8.5,3.0,1.0,,73707.187729,1.0,127.0
83971.0,26.0,Female,2.0,6.0,5.397605346934028e-79,2.0,,53247.122965,1.0,131.0
83973.0,63.0,Male,2.0,7.5,2.0,5.397605346934028e-79,,161983.591606,1.0,120.0
83975.0,65.0,Female,3.0,9.0,3.0,5.397605346934028e-79,,10191.914345,1.0,127.0
83976.0,80.0,Male,12.0,5.5,4.0,8.0,,45423.218372,2.0,127.0
83977.0,80.0,Female,6.0,12.0,1.0,5.0,,58406.004915,2.0,121.0
83982.0,25.0,Male,3.0,6.5,2.0,1.0,,151436.562639,2.0,123.0
83983.0,71.0,Female,5.0,9.0,3.0,2.0,,5.397605346934028e-79,1.0,124.0
83985.0,55.0,Male,9.0,8.0,1.0,8.0,,142700.496043,2.0,128.0
83986.0,40.0,Male,3.0,5.5,2.0,1.0,,50727.109106,1.0,122.0
83987.0,68.0,Male,8.0,11.0,5.397605346934028e-79,8.0,,9350.338441,1.0,121.0
83988.0,21.0,Male,10.0,7.5,5.0,5.0,,43018.902365,2.0,122.0
83989.0,37.0,Female,8.0,5.0,3.0,5.0,,26323.048964,2.0,130.0
83990.0,79.0,Female,12.0,8.0,4.0,8.0,,14327.558193,1.0,128.0
83992.0,68.0,Male,6.0,9.0,1.0,5.0,,20179.417316,2.0,133.0
83993.0,41.0,Female,7.0,7.5,4.0,3.0,,27214.149657,2.0,124.0
83994.0,60.0,Female,10.0,7.5,5.0,5.0,,223381.482388,2.0,127.0
83995.0,43.0,Male,4.0,6.5,3.0,1.0,,24624.0564,2.0,129.0
83996.0,60.0,Female,1.0795210693868056e-78,8.5,5.397605346934028e-79,5.397605346934028e-79,,18103.656902,2.0,119.0
83998.0,31.0,Female,4.0,7.5,3.0,1.0,,122235.867207,1.0,132.0
83999.0,71.0,Male,8.0,8.0,5.397605346934028e-79,8.0,,13483.718541,1.0,119.0
84001.0,54.0,Female,9.0,6.5,1.0,8.0,,17701.82134,1.0,123.0
84002.0,48.0,Male,2.0,,1.0,1.0,,124749.859713,1.0,122.0
84005.0,26.0,Male,4.0,6.5,2.0,2.0,,27144.009523,2.0,126.0
84006.0,45.0,Female,7.0,6.0,5.0,2.0,,28821.999917,1.0,132.0
84007.0,27.0,Female,5.0,8.0,5.0,5.397605346934028e-79,,5.397605346934028e-79,2.0,131.0
84008.0,62.0,Female,11.0,9.0,3.0,8.0,,16375.276871,1.0,119.0
84010.0,68.0,Female,4.0,8.0,2.0,2.0,,152511.870586,1.0,129.0
84011.0,32.0,Male,4.0,6.5,2.0,2.0,,44544.034334,1.0,126.0
84012.0,24.0,Male,9.0,5.5,1.0,8.0,,40340.159427,1.0,124.0
84014.0,53.0,Male,8.0,7.0,8.0,5.397605346934028e-79,,15162.869423,2.0,128.0
84015.0,73.0,Male,9.0,7.0,1.0,8.0,,10945.113108,2.0,133.0
84016.0,41.0,Female,1.0,4.5,5.397605346934028e-79,1.0,,43742.970217,2.0,127.0
84018.0,27.0,Male,1.0,8.0,5.397605346934028e-79,1.0,,133131.457626,2.0,129.0
84019.0,54.0,Male,7.0,6.0,5.0,2.0,,23307.562192,2.0,130.0
84021.0,29.0,Female,1.0,8.0,5.397605346934028e-79,1.0,,18013.97539,1.0,130.0
84022.0,60.0,Female,5.0,7.0,3.0,2.0,,8376.294199,2.0,129.0
84023.0,19.0,Female,6.0,11.0,5.0,1.0,,26330.580255,2.0,132.0
84025.0,18.0,Female,12.0,7.5,4.0,8.0,,42951.324965,2.0,127.0
84026.0,44.0,Male,6.0,7.0,3.0,3.0,,17830.145083,2.0,132.0
84028.0,61.0,Female,1.0795210693868056e-78,8.5,5.397605346934028e-79,5.397605346934028e-79,,141736.877671,2.0,121.0
84029.0,28.0,Female,1.0795210693868056e-78,9.5,5.397605346934028e-79,5.397605346934028e-79,,50798.059826,2.0,127.0
84030.0,46.0,Male,11.0,8.0,3.0,8.0,,25221.741084,1.0,120.0
84032.0,51.0,Male,10.0,,2.0,8.0,,24220.703626,1.0,128.0
84033.0,41.0,Female,1.0795210693868056e-78,8.0,5.397605346934028e-79,5.397605346934028e-79,,54200.877488,1.0,122.0
84034.0,25.0,Female,5.0,9.5,2.0,3.0,,25379.408583,2.0,126.0
84036.0,36.0,Male,4.0,8.0,2.0,2.0,,128658.980045,2.0,121.0
84037.0,66.0,Male,10.0,8.0,2.0,8.0,,185426.756225,2.0,133.0
84038.0,23.0,Female,3.0,7.0,3.0,5.397605346934028e-79,,96343.268815,2.0,129.0
84039.0,36.0,Male,13.0,8.5,5.0,8.0,,37744.082899,1.0,125.0
84040.0,62.0,Male,2.0,7.5,5.397605346934028e-79,2.0,,5.397605346934028e-79,1.0,129.0
84041.0,71.0,Female,2.0,7.5,1.0,1.0,,109544.909032,1.0,126.0
84042.0,75.0,Male,13.0,8.0,5.0,8.0,,12320.306534,1.0,131.0
84044.0,58.0,Female,9.0,9.5,1.0,8.0,30.0,5.397605346934028e-79,1.0,119.0
84046.0,45.0,Female,5.0,8.0,3.0,2.0,,89348.088605,1.0,131.0
84047.0,72.0,Female,5.0,8.0,2.0,3.0,,21201.048387,2.0,121.0
84050.0,79.0,Female,5.0,10.0,5.0,5.397605346934028e-79,,79382.030433,1.0,130.0
84051.0,55.0,Female,5.0,6.0,4.0,1.0,,19355.327344,1.0,128.0
84054.0,17.0,Male,13.0,8.0,5.0,8.0,,23813.085283,1.0,127.0
84055.0,64.0,Female,9.0,7.0,4.0,5.0,,28394.776693,1.0,126.0
84058.0,21.0,Female,4.0,8.5,2.0,2.0,,101774.501889,2.0,128.0
84061.0,50.0,Female,7.0,8.0,5.0,2.0,,146410.687308,1.0,127.0
84062.0,45.0,Female,9.0,7.0,1.0,8.0,,22397.937264,2.0,122.0
84065.0,48.0,Female,10.0,9.0,2.0,8.0,,122048.907038,1.0,127.0
84068.0,59.0,Male,9.0,6.0,1.0,8.0,,19273.946771,2.0,126.0
84069.0,61.0,Female,13.0,7.0,5.0,8.0,,15284.42494,1.0,123.0
84070.0,40.0,Male,3.0,5.5,2.0,1.0,60.0,105159.29155,1.0,119.0
84071.0,72.0,Female,2.0,7.0,2.0,5.397605346934028e-79,,5.397605346934028e-79,2.0,122.0
84072.0,27.0,Female,1.0795210693868056e-78,8.5,5.397605346934028e-79,5.397605346934028e-79,,37725.5933,1.0,132.0
84073.0,39.0,Female,8.0,5.0,5.397605346934028e-79,8.0,,23928.976208,1.0,127.0
84074.0,26.0,Female,16.0,3.0,8.0,8.0,,34020.381254,2.0,128.0
84075.0,62.0,Male,13.0,3.0,5.0,8.0,,40373.364885,2.0,125.0
84076.0,20.0,Male,2.0,7.0,2.0,5.397605346934028e-79,,5.397605346934028e-79,1.0,128.0
84077.0,46.0,Female,7.0,8.5,2.0,5.0,,19193.356019,1.0,124.0
84082.0,24.0,Female,7.0,10.0,2.0,5.0,,22744.571405,1.0,133.0
84086.0,45.0,Male,10.0,8.0,2.0,8.0,,134484.853586,2.0,131.0
84087.0,36.0,Male,1.0,7.5,1.0,5.397605346934028e-79,,18550.188454,1.0,133.0
84088.0,45.0,Female,7.0,7.0,2.0,5.0,,86941.936418,2.0,120.0
84089.0,53.0,Male,8.0,7.0,5.397605346934028e-79,8.0,,23398.828515,2.0,131.0
84090.0,26.0,Female,1.0,7.0,1.0,5.397605346934028e-79,,92810.746632,1.0,132.0
84091.0,60.0,Female,11.0,7.0,3.0,8.0,,16839.231379,1.0,119.0
84092.0,58.0,Female,10.0,7.0,5.0,5.0,,12909.961721,1.0,119.0
84093.0,16.0,Female,5.0,8.5,2.0,3.0,,18604.439406,1.0,124.0
84094.0,73.0,Female,1.0795210693868056e-78,7.5,5.397605346934028e-79,5.397605346934028e-79,,94718.989174,2.0,129.0
84095.0,61.0,Female,8.0,7.5,3.0,5.0,,19994.152784,2.0,129.0
84098.0,26.0,Male,4.0,8.0,2.0,2.0,,24913.200394,1.0,124.0
84099.0,74.0,Male,12.0,10.0,4.0,8.0,,11400.745908,1.0,127.0
84101.0,80.0,Male,10.0,9.0,5.0,5.0,,45839.18191,2.0,127.0
84103.0,33.0,Male,4.0,11.0,1.0,3.0,,29765.236681,1.0,131.0
84105.0,28.0,Male,4.0,8.0,2.0,2.0,,44183.467982,2.0,121.0
84106.0,57.0,Male,2.0,7.5,2.0,5.397605346934028e-79,,19577.75466,2.0,122.0
84107.0,60.0,Female,8.0,7.0,5.397605346934028e-79,8.0,,10624.63096,1.0,126.0
84108.0,63.0,Male,10.0,4.5,5.0,5.0,,34910.790222,2.0,119.0
84109.0,66.0,Male,11.0,6.0,3.0,8.0,,130247.490606,1.0,130.0
84110.0,28.0,Male,2.0,7.0,1.0,1.0,,33012.516984,1.0,120.0
84111.0,58.0,Male,,5.5,,,,21934.817668,1.0,122.0
84112.0,46.0,Male,4.0,6.0,2.0,2.0,,12641.380049,2.0,120.0
84114.0,59.0,Male,13.0,9.0,5.0,8.0,,99287.934073,1.0,131.0
84115.0,80.0,Male,8.0,6.0,5.397605346934028e-79,8.0,,18768.224506,2.0,132.0
84118.0,72.0,Female,10.0,7.5,2.0,8.0,,12241.751649,1.0,127.0
84119.0,52.0,Male,4.0,8.0,2.0,2.0,,25530.895149,2.0,122.0
84120.0,67.0,Male,6.0,8.0,4.0,2.0,,8753.903385,1.0,122.0
84121.0,18.0,Male,11.0,8.5,3.0,8.0,,18513.759776,1.0,127.0
84122.0,54.0,Male,13.0,6.0,5.0,8.0,,26046.288437,1.0,120.0
84125.0,72.0,Female,7.0,12.0,5.0,2.0,,104095.119499,2.0,125.0
84126.0,38.0,Male,10.0,11.0,5.0,5.0,,37414.894949,2.0,131.0
84128.0,46.0,Female,9.0,6.5,1.0,8.0,60.0,23248.968221,1.0,128.0
84129.0,80.0,Male,11.0,6.0,3.0,8.0,,20556.749123,2.0,132.0
84130.0,26.0,Female,6.0,7.5,5.0,1.0,,98480.345057,2.0,123.0
84137.0,28.0,Female,11.0,8.5,8.0,3.0,,25225.54145,2.0,122.0
84139.0,78.0,Female,12.0,8.5,4.0,8.0,,12072.422598,1.0,128.0
84140.0,21.0,Female,1.0795210693868056e-78,7.0,5.397605346934028e-79,5.397605346934028e-79,,29782.450467,2.0,120.0
84142.0,24.0,Male,9.0,6.0,5.0,4.0,,80641.122109,1.0,131.0
84143.0,35.0,Female,8.0,8.0,5.397605346934028e-79,8.0,,75174.777481,2.0,124.0
84147.0,78.0,Male,9.0,11.0,1.0,8.0,,9137.070875,2.0,122.0
84151.0,53.0,Female,1.0,9.5,5.397605346934028e-79,1.0,,210752.422853,2.0,127.0
84152.0,46.0,Female,9.0,7.0,1.0,8.0,,16360.876727,2.0,133.0
84156.0,29.0,Female,2.0,5.0,2.0,5.397605346934028e-79,,18462.081212,1.0,124.0
84157.0,45.0,Male,10.0,8.0,5.0,5.0,,48453.257254,1.0,125.0
84160.0,45.0,Female,10.0,8.5,2.0,8.0,,5.397605346934028e-79,1.0,119.0
84165.0,57.0,Male,10.0,8.0,2.0,8.0,,27801.285892,1.0,133.0
84166.0,67.0,Female,5.0,7.5,5.0,5.397605346934028e-79,,148368.339917,2.0,125.0
84167.0,46.0,Male,2.0,7.0,2.0,5.397605346934028e-79,,15064.018692,2.0,131.0
84168.0,61.0,Male,12.0,8.0,4.0,8.0,,21947.76368,2.0,132.0
84169.0,43.0,Male,10.0,4.5,5.0,5.0,,19747.852919,2.0,125.0
84170.0,46.0,Male,3.0,,3.0,5.397605346934028e-79,,45291.792639,1.0,128.0
84171.0,30.0,Female,2.0,7.5,2.0,5.397605346934028e-79,,72530.976365,1.0,131.0
84172.0,20.0,Male,6.0,8.0,3.0,3.0,,27757.33553,2.0,125.0
84173.0,52.0,Male,3.0,7.0,3.0,5.397605346934028e-79,,21710.539835,1.0,127.0
84174.0,54.0,Female,10.0,9.0,5.0,5.0,,25227.77051,2.0,125.0
84177.0,77.0,Male,10.0,7.5,2.0,8.0,,9033.441989,1.0,127.0
84178.0,80.0,Male,11.0,9.5,3.0,8.0,,29156.852135,2.0,132.0
84180.0,33.0,Male,10.0,10.0,2.0,8.0,,38026.445558,2.0,119.0
84181.0,35.0,Male,16.0,4.5,8.0,8.0,,27036.781252,1.0,132.0
84182.0,41.0,Female,11.0,8.0,3.0,8.0,,5.397605346934028e-79,2.0,121.0
84183.0,80.0,Female,9.0,10.0,1.0,8.0,,12197.218593,1.0,129.0
84184.0,58.0,Male,3.0,7.5,2.0,1.0,60.0,35423.296579,1.0,123.0
84185.0,37.0,Male,6.0,6.0,4.0,2.0,,24721.918982,2.0,130.0
84186.0,45.0,Male,10.0,7.5,5.0,5.0,,5.397605346934028e-79,1.0,121.0
84187.0,25.0,Female,3.0,8.0,2.0,1.0,,93511.137964,2.0,120.0
84188.0,61.0,Female,13.0,11.0,5.0,8.0,,8532.351674,1.0,133.0
84189.0,62.0,Female,2.0,10.0,2.0,5.397605346934028e-79,,19639.755181,2.0,121.0
84192.0,27.0,Female,5.0,6.0,4.0,1.0,,31428.978415,1.0,127.0
84194.0,58.0,Female,5.0,9.5,5.0,5.397605346934028e-79,,155606.091142,2.0,125.0
84195.0,45.0,Male,9.0,7.0,1.0,8.0,,20474.315491,2.0,126.0
84196.0,32.0,Male,6.0,4.0,3.0,3.0,,16148.665253,2.0,121.0
84197.0,59.0,Male,4.0,8.0,4.0,5.397605346934028e-79,,204990.718839,2.0,127.0
84200.0,24.0,Female,8.0,10.0,8.0,5.397605346934028e-79,,75925.397117,1.0,133.0
84201.0,78.0,Male,8.0,10.5,5.397605346934028e-79,8.0,,15916.911834,1.0,130.0
84202.0,19.0,Male,6.0,12.0,2.0,4.0,,24639.451398,1.0,129.0
84203.0,21.0,Male,7.0,7.0,4.0,3.0,,39928.001148,2.0,130.0
